EMPRESA;id;PUBLICACION;MES;DIA;ANIO;hora;numreactions;numcomments;numshares;numlikes;numloves;numwows;numhahas;numsads;numangrys
EMPRESAD;1,6497E+15;video;4;22;2018;6;529;512;262;432;92;3;1;1;0
EMPRESAD;1,64943E+15;photo;4;21;2018;22.45;150;0;0;150;0;0;0;0;0
EMPRESAD;1,64873E+15;video;4;21;2018;6.17;227;236;57;204;21;1;1;0;0
EMPRESAD;1,64858E+15;photo;4;21;2018;2.29;111;0;0;111;0;0;0;0;0
EMPRESAD;1,6457E+15;photo;4;18;2018;3.22;213;0;0;204;9;0;0;0;0
EMPRESAD;1,64565E+15;photo;4;18;2018;2.14;217;6;0;211;5;1;0;0;0
EMPRESAD;1,64556E+15;video;4;18;2018;0.24;503;614;72;418;70;10;2;0;3
EMPRESAD;1,64482E+15;video;4;17;2018;7.42;295;453;53;260;32;1;1;0;1
EMPRESAD;1,64466E+15;photo;4;17;2018;3.33;203;1;0;198;5;0;0;0;0
EMPRESAD;1,63879E+15;photo;4;11;2018;4.53;170;9;1;167;3;0;0;0;0
EMPRESAD;1,63766E+15;photo;4;10;2018;1.01;210;2;3;202;7;1;0;0;0
EMPRESAD;1,63673E+15;photo;4;9;2018;2.06;222;4;0;213;5;4;0;0;0
EMPRESAD;1,63585E+15;photo;4;8;2018;5.10;313;4;2;305;6;2;0;0;0
EMPRESAD;1,63573E+15;photo;4;8;2018;2.23;209;4;0;200;8;1;0;0;0
EMPRESAD;1,63287E+15;photo;4;5;2018;9.23;346;11;0;335;10;1;0;0;0
EMPRESAD;1,62851E+15;video;4;1;2018;5.16;332;100;30;303;23;1;5;0;0
EMPRESAD;1,62658E+15;video;3;30;2018;8.28;135;256;79;117;18;0;0;0;0
EMPRESAD;1,62247E+15;video;3;26;2018;8.28;150;173;47;132;16;1;0;1;0
EMPRESAD;1,61919E+15;video;3;23;2018;7.09;221;166;36;192;28;0;1;0;0
EMPRESAD;1,61786E+15;photo;3;22;2018;1.25;152;2;0;149;3;0;0;0;0
EMPRESAD;1,61711E+15;photo;3;21;2018;8.40;234;15;1;221;12;1;0;0;0
EMPRESAD;1,61705E+15;photo;3;21;2018;7.46;227;7;1;217;7;2;1;0;0
EMPRESAD;1,61565E+15;photo;3;20;2018;1.54;98;0;0;96;0;2;0;0;0
EMPRESAD;1,61563E+15;video;3;20;2018;1.28;18;0;0;18;0;0;0;0;0
EMPRESAD;1,61559E+15;photo;3;20;2018;0.15;102;0;0;100;0;2;0;0;0
EMPRESAD;1,61551E+15;video;3;19;2018;22.34;37;0;1;37;0;0;0;0;0
EMPRESAD;1,61268E+15;video;3;17;2018;8.07;75;36;14;70;5;0;0;0;0
EMPRESAD;1,61265E+15;video;3;17;2018;7.47;90;78;9;85;5;0;0;0;0
EMPRESAD;1,60711E+15;photo;3;12;2018;5.51;145;9;0;138;7;0;0;0;0
EMPRESAD;1,60383E+15;video;3;9;2018;7.45;253;300;31;229;22;1;1;0;0
EMPRESAD;1,60374E+15;photo;3;9;2018;5.55;85;0;0;81;2;2;0;0;0
EMPRESAD;1,60197E+15;video;3;7;2018;13.10;45;14;0;40;5;0;0;0;0
EMPRESAD;1,6016E+15;photo;3;7;2018;6.13;92;0;0;85;4;2;1;0;0
EMPRESAD;1,60152E+15;photo;3;7;2018;4.46;125;1;0;116;8;1;0;0;0
EMPRESAD;1,59966E+15;photo;3;5;2018;8.32;119;4;0;116;3;0;0;0;0
EMPRESAD;1,59939E+15;photo;3;5;2018;2.48;293;8;0;281;11;1;0;0;0
