Provider,Image URL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
MSN Hotmail,https://wiki.miranda-ng.org/images/2/2d/MSN_logo.png,54492750.0,83200000.0,115700000.0,135000000.0,153600000.0,183600000.0,216800000.0,243000000.0,264700000.0,292300000.0,319500000.0,360000000.0,0.0,0.0,0.0,0.0,0,0,0,0
AOL Mail,https://sites.google.com/site/aolmaillogin2017/_/rsrc/1474548254743/home/aollogoaolmailloginpage/t%E1%BA%A3i%20xu%E1%BB%91ng.png?height=320&width=320,21714975.0,26200000.0,32500000.0,37500000.0,41000000.0,44100000.0,47200000.0,44700000.0,40900000.0,36000000.0,33500000.0,29900000.0,25200000.0,24100000.0,24300000.0,24600000.0,24800000,24900000,25100000,25384000
Yahoo! Mail,https://cdn.iconscout.com/icon/free/png-256/yahoo-mail-848739.png,13260869.0,18000000.0,24800000.0,30200000.0,33900000.0,39900000.0,46600000.0,53600000.0,80600000.0,105800000.0,176000000.0,260500000.0,269900000.0,261400000.0,253000000.0,247500000.0,237200000,228200000,221400000,215726000
NetEase Mail,https://cdn6.aptoide.com/imgs/a/0/5/a05b6d55319d1409f391bdf451914b58_icon.png?w=256,10169009.0,15600000.0,23400000.0,32300000.0,51800000.0,73700000.0,111700000.0,145600000.0,173700000.0,209400000.0,220200000.0,236200000.0,256600000.0,282900000.0,314500000.0,335100000.0,360400000,407200000,423800000,442560000
Tencent QQ,https://live.staticflickr.com/2178/3529495395_eb45993120.jpg,4993589.0,7700000.0,11500000.0,15800000.0,25400000.0,36200000.0,54800000.0,71500000.0,85300000.0,102800000.0,108100000.0,116000000.0,126000000.0,138900000.0,154400000.0,164500000.0,177000000,199900000,208000000,216930000
DOCOMO Mail,"https://res-1.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_256,w_256,f_auto,q_auto:eco/v1488697939/stxanyztkccioscn9ewu.png",3010821.0,3700000.0,4500000.0,5400000.0,6300000.0,7700000.0,9300000.0,10500000.0,11600000.0,12900000.0,13500000.0,14500000.0,15700000.0,16700000.0,17700000.0,18900000.0,20500000,22100000,24900000,25900000
NAVER Mail,"https://res-5.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_256,w_256,f_auto,q_auto:eco/v1504499304/in36bktetqoapibgeabo.png",641392.0,1100000.0,2100000.0,3600000.0,5100000.0,6400000.0,7700000.0,8700000.0,9600000.0,10700000.0,11200000.0,12000000.0,13000000.0,13800000.0,14600000.0,15600000.0,0,0,0,0
Sina Mail,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT09pGQRKOM9k_FNe_XjAxa6N22OWhNlLqCn5I6itY5jfdpDzJb&s,550102.0,800000.0,1200000.0,1700000.0,2800000.0,0.0,6000000.0,7800000.0,9400000.0,11300000.0,11900000.0,12700000.0,13800000.0,15300000.0,17000000.0,18100000.0,19400000,22000000,22900000,23940000
Le Mail Orange,https://www.pngfactory.net/_png/_thumb/17797-RobinO-Orange.png,358273.0,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Почта Mail.Ru,https://static-s.aa-cdn.net/img/ios/511310430/828f54bd51d473a89ef1a97b09384d15,,657573.0,1700000.0,2900000.0,4100000.0,5100000.0,6200000.0,7000000.0,7700000.0,8500000.0,9400000.0,0.0,12400000.0,13600000.0,14900000.0,16600000.0,20800000,25800000,34500000,37134000
Yandex.Mail,https://apprecs.org/ios/images/app-icons/256/4b/441785419.jpg,,,1359548.0,2300000.0,3200000.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Gmail,http://www.myiconfinder.com/uploads/iconsets/256-256-4d20b93e255eb723bfe484856424a515-gmail.png,,,,,,5843906.0,11900000.0,16800000.0,23000000.0,36900000.0,114600000.0,208300000.0,384500000.0,519000000.0,662500000.0,848500000.0,975000000,1153300000,1430100000,1624374000
Outlook.com,http://files.softicons.com/download/android-icons/flat-icons-add-on-1-by-martz90/png/256x256/outlook2.png,,,,,,,,,,,,84048000.0,404100000.0,409800000.0,425000000.0,429800000.0,443700000,440700000,428600000,401736000
iCloud Mail,https://d3ukzap5f2wa8d.cloudfront.net/wp-content/uploads/20170814093318/ICLOUD.png,,,,,,,,,,,,,,,,,20826500,25000000,27600000,34392000
